t,setpoint,xn,yn,posisi
3.269997,1.000000,-0.017496,-0.004809,1.170146
3.279997,1.000000,-0.017015,-0.004933,1.165213
3.289997,1.000000,-0.016521,-0.005051,1.160162
3.299997,1.000000,-0.016016,-0.005163,1.154999
3.309997,1.000000,-0.015500,-0.005268,1.149730
3.319997,1.000000,-0.014973,-0.005368,1.144362
3.329997,1.000000,-0.014436,-0.005461,1.138902
3.339997,1.000000,-0.013890,-0.005548,1.133354
3.349997,1.000000,-0.013335,-0.005628,1.127726
3.359997,1.000000,-0.012773,-0.005702,1.122024
3.369997,1.000000,-0.012202,-0.005770,1.116254
3.379997,1.000000,-0.011625,-0.005831,1.110423
3.389997,1.000000,-0.011042,-0.005886,1.104538
3.399997,1.000000,-0.010454,-0.005934,1.098603
3.409997,1.000000,-0.009860,-0.005976,1.092627
3.419997,1.000000,-0.009263,-0.006012,1.086615
3.429996,1.000000,-0.008662,-0.006042,1.080574
3.439996,1.000000,-0.008057,-0.006065,1.074509
3.449996,1.000000,-0.007451,-0.006082,1.068427
3.459996,1.000000,-0.006843,-0.006092,1.062335
3.469996,1.000000,-0.006233,-0.006097,1.056238
3.479996,1.000000,-0.005624,-0.006095,1.050143
3.489996,1.000000,-0.005014,-0.006087,1.044055
3.499996,1.000000,-0.004406,-0.006074,1.037982
3.509996,1.000000,-0.003798,-0.006054,1.031927
3.519996,1.000000,-0.003193,-0.006029,1.025898
3.529996,1.000000,-0.002590,-0.005998,1.019901
3.539996,1.000000,-0.001990,-0.005961,1.013940
3.549996,1.000000,-0.001394,-0.005918,1.008022
3.559996,1.000000,-0.000802,-0.005870,1.002151
3.569996,1.000000,-0.000215,-0.005817,0.996334
3.579996,1.000000,0.000367,-0.005758,0.990576
3.589996,1.000000,0.000942,-0.005695,0.984881
3.599996,1.000000,0.001512,-0.005626,0.979256
3.609996,1.000000,0.002074,-0.005552,0.973704
3.619996,1.000000,0.002630,-0.005473,0.968231
3.629996,1.000000,0.003177,-0.005390,0.962841
3.639996,1.000000,0.003716,-0.005302,0.957539
3.649996,1.000000,0.004246,-0.005209,0.952330
3.659996,1.000000,0.004767,-0.005113,0.947217
3.669996,1.000000,0.005278,-0.005012,0.942205
3.679996,1.000000,0.005779,-0.004907,0.937298
3.689996,1.000000,0.006270,-0.004798,0.932500
3.699996,1.000000,0.006750,-0.004685,0.927815
3.709996,1.000000,0.007219,-0.004569,0.923245
3.719996,1.000000,0.007675,-0.004450,0.918796
3.729996,1.000000,0.008120,-0.004327,0.914469
3.739996,1.000000,0.008553,-0.004201,0.910268
3.749996,1.000000,0.008973,-0.004072,0.906197
3.759996,1.000000,0.009380,-0.003940,0.902257
3.769996,1.000000,0.009774,-0.003805,0.898452
3.779996,1.000000,0.010155,-0.003668,0.894784
3.789996,1.000000,0.010522,-0.003528,0.891256
3.799996,1.000000,0.010874,-0.003387,0.887869
3.809996,1.000000,0.011213,-0.003243,0.884626
3.819996,1.000000,0.011537,-0.003098,0.881528
3.829996,1.000000,0.011847,-0.002950,0.878578
3.839996,1.000000,0.012142,-0.002801,0.875776
3.849996,1.000000,0.012422,-0.002651,0.873125
3.859996,1.000000,0.012688,-0.002500,0.870625
3.869996,1.000000,0.012937,-0.002347,0.868278
3.879996,1.000000,0.013172,-0.002194,0.866084
3.889996,1.000000,0.013392,-0.002040,0.864044
3.899996,1.000000,0.013596,-0.001885,0.862159
3.909996,1.000000,0.013784,-0.001730,0.860429
3.919996,1.000000,0.013957,-0.001575,0.858854
3.929996,1.000000,0.014115,-0.001419,0.857435
3.939996,1.000000,0.014257,-0.001264,0.856171
3.949996,1.000000,0.014383,-0.001109,0.855062
3.959996,1.000000,0.014494,-0.000954,0.854109
3.969996,1.000000,0.014589,-0.000799,0.853309
3.979996,1.000000,0.014669,-0.000646,0.852663
